Timestamp;Suhu Udara (°C);Kelembaban Udara (%);Suhu Tanah (°C);Kelembaban Tanah (%);pH Tanah;Nitrogen (mg/kg);Fosfor (mg/kg);Kalium (mg/kg);Status Kesuburan;Rekomendasi;Curah Hujan (mm);Lokasi
2025-08-27 08:02:41;21.4;50.9;28.4;76.4;4.43;62;187;315;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;1.9;Eucalyptus Farm
2025-08-27 08:03:09;25.2;52.8;26.5;66.1;7.37;64;24;208;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.8;Eucalyptus Farm
2025-08-27 08:03:10;21.1;54.1;28.3;70.1;6.54;103;60;224;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.3;Eucalyptus Farm
2025-08-27 08:03:17;26.2;56.3;30.2;71.5;6.60;102;56;119;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.2;Eucalyptus Farm
2025-08-27 08:03:22;24.7;48.3;26.4;40.3;7.06;98;59;102;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.7;Eucalyptus Farm
2025-08-27 08:03:26;30.4;43.8;25.9;53.5;5.61;67;6;231;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;1.3;Eucalyptus Farm
2025-08-27 08:05:01;20.5;45.8;28.2;61.3;5.81;76;14;352;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;6.4;Eucalyptus Farm
2025-08-27 08:06:31;26.3;64.3;27.7;46.4;7.12;85;43;332;Sangat Subur;Pertahankan kondisi saat ini;5.6;Eucalyptus Farm
2025-08-27 08:06:57;23.9;59.1;26.6;50.4;6.90;86;16;247;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;5.1;Eucalyptus Farm
2025-08-27 08:08:22;24.8;47.9;26.0;62.5;7.48;35;133;301;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;4.8;Eucalyptus Farm
2025-08-27 08:09:29;27.9;42.3;29.3;70.8;7.03;116;43;304;Sangat Subur;Pertahankan kondisi saat ini;6.6;Eucalyptus Farm
2025-08-27 08:11:03;30.1;43.8;29.9;72.4;7.23;150;24;89;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;9.7;Eucalyptus Farm
2025-08-27 08:11:39;29.7;43.9;30.3;45.7;7.49;57;65;175;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.1;Eucalyptus Farm
2025-08-27 08:12:49;27.4;41.8;27.3;63.7;5.50;110;60;153;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.4;Eucalyptus Farm
2025-08-27 08:13:04;28.3;63.4;26.4;57.2;7.12;77;29;115;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.7;Eucalyptus Farm
2025-08-27 08:14:11;28.5;64.0;25.8;67.7;6.25;120;58;177;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.4;Eucalyptus Farm
2025-08-27 08:14:13;23.2;50.3;30.0;75.9;7.58;111;35;246;Sedang;Pantau dan sesuaikan pupuk jika perlu;6.9;Eucalyptus Farm
2025-08-27 08:14:14;30.1;53.3;29.2;56.4;6.22;42;22;213;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.6;Eucalyptus Farm
2025-08-27 08:14:20;20.9;65.4;29.7;51.9;5.09;55;53;180;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.9;Eucalyptus Farm
2025-08-27 08:14:36;21.5;38.5;28.6;78.4;7.09;103;25;174;Sedang;Pantau dan sesuaikan pupuk jika perlu;9.0;Eucalyptus Farm
2025-08-27 08:16:35;30.5;38.1;25.6;73.0;7.00;0;0;0;Data Tidak Lengkap;Periksa sensor pH dan NPK;2.0;Eucalyptus Farm
2025-08-27 08:16:56;27.8;67.9;26.9;61.5;6.22;85;24;129;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.3;Eucalyptus Farm
2025-08-27 08:17:01;26.7;47.9;27.9;69.8;6.37;112;59;244;Sangat Subur;Pertahankan kondisi saat ini;8.7;Eucalyptus Farm
2025-08-27 08:17:39;20.8;41.1;26.5;78.8;8.07;73;196;378;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;6.7;Eucalyptus Farm
2025-08-27 08:17:40;27.6;38.2;29.3;60.6;6.57;57;24;171;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.8;Eucalyptus Farm
2025-08-27 08:18:01;27.7;44.4;26.0;67.5;7.36;116;24;237;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.6;Eucalyptus Farm
2025-08-27 08:19:10;28.2;65.8;26.8;53.4;5.54;67;114;84;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;4.6;Eucalyptus Farm
2025-08-27 08:19:14;28.7;58.5;26.4;72.8;5.57;69;62;117;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.3;Eucalyptus Farm
2025-08-27 08:20:18;27.8;54.3;28.5;60.3;6.63;109;70;239;Sangat Subur;Pertahankan kondisi saat ini;3.0;Eucalyptus Farm
2025-08-27 08:21:07;24.7;64.7;29.6;65.2;7.35;96;66;204;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.6;Eucalyptus Farm
2025-08-27 08:21:46;29.7;39.2;27.0;48.3;7.73;79;57;116;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.4;Eucalyptus Farm
2025-08-27 08:23:29;23.7;51.1;30.0;78.5;7.25;110;78;228;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.4;Eucalyptus Farm
2025-08-27 08:26:25;22.3;58.8;26.6;44.7;5.50;146;45;334;Sangat Subur;Pertahankan kondisi saat ini;1.7;Eucalyptus Farm
2025-08-27 08:27:16;28.1;44.4;30.4;42.1;7.00;0;20;31;Data Tidak Lengkap;Periksa sensor pH dan NPK;3.5;Eucalyptus Farm
2025-08-27 08:27:58;24.6;64.4;28.7;76.0;5.50;47;60;199;Sedang;Pantau dan sesuaikan pupuk jika perlu;6.2;Eucalyptus Farm
2025-08-27 08:27:59;26.1;47.0;27.5;67.6;5.13;193;4;361;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;9.1;Eucalyptus Farm
2025-08-27 08:28:05;22.0;63.8;27.8;56.2;7.95;121;4;162;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;4.5;Eucalyptus Farm
2025-08-27 08:28:54;23.9;62.1;25.8;46.4;5.50;61;42;235;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.4;Eucalyptus Farm
2025-08-27 08:30:02;21.5;57.8;28.7;41.3;8.28;72;65;365;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;0.0;Eucalyptus Farm
2025-08-27 08:30:16;29.2;60.9;26.7;41.5;7.19;65;35;190;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.0;Eucalyptus Farm
2025-08-27 08:31:35;27.3;58.4;30.2;51.8;5.82;99;25;249;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.0;Eucalyptus Farm
2025-08-27 08:31:39;30.0;43.1;30.3;40.6;6.00;57;40;187;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.8;Eucalyptus Farm
2025-08-27 08:32:10;25.3;55.9;26.9;63.7;4.76;45;194;307;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;3.0;Eucalyptus Farm
2025-08-27 08:32:11;24.2;56.8;25.6;45.7;5.73;75;26;240;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.4;Eucalyptus Farm
2025-08-27 08:33:06;22.4;57.0;29.6;65.6;6.97;87;25;149;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.1;Eucalyptus Farm
2025-08-27 08:33:18;26.8;63.4;27.0;54.2;6.35;33;68;298;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;9.1;Eucalyptus Farm
2025-08-27 08:33:47;24.4;58.9;26.5;65.7;7.66;92;67;173;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.6;Eucalyptus Farm
2025-08-27 08:34:09;28.0;55.2;30.4;56.6;7.24;147;50;298;Sangat Subur;Pertahankan kondisi saat ini;7.5;Eucalyptus Farm
2025-08-27 08:34:42;25.0;67.5;29.4;41.1;6.43;124;41;242;Sangat Subur;Pertahankan kondisi saat ini;0.7;Eucalyptus Farm
2025-08-27 08:36:40;28.4;54.2;27.1;45.5;6.41;116;53;248;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.9;Eucalyptus Farm
2025-08-27 08:38:47;29.0;63.4;27.9;47.1;5.16;112;48;84;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;4.8;Eucalyptus Farm
2025-08-27 08:39:28;30.0;59.9;25.8;75.4;6.33;46;46;175;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.6;Eucalyptus Farm
2025-08-27 08:39:45;25.2;51.5;27.9;64.9;6.39;136;57;341;Sangat Subur;Pertahankan kondisi saat ini;4.7;Eucalyptus Farm
2025-08-27 08:40:27;26.9;40.0;26.9;63.1;5.58;20;72;275;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;7.0;Eucalyptus Farm
2025-08-27 08:40:33;25.3;39.7;26.4;68.3;7.70;109;39;230;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.1;Eucalyptus Farm
2025-08-27 08:40:54;30.4;61.0;30.2;48.6;4.92;62;51;205;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;7.7;Eucalyptus Farm
2025-08-27 08:41:19;27.1;40.1;27.5;47.3;7.48;102;24;190;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.6;Eucalyptus Farm
2025-08-27 08:41:29;24.6;45.0;28.0;74.9;6.06;21;103;211;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;7.1;Eucalyptus Farm
2025-08-27 08:41:31;26.8;40.9;26.0;41.9;6.28;98;57;212;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.8;Eucalyptus Farm
2025-08-27 08:42:37;24.7;47.5;25.7;45.5;5.05;76;72;161;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.6;Eucalyptus Farm
2025-08-27 08:42:48;21.6;67.4;27.4;71.0;6.88;69;54;197;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.4;Eucalyptus Farm
2025-08-27 08:43:32;29.5;61.8;28.2;56.9;7.65;135;45;232;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;6.2;Eucalyptus Farm
2025-08-27 08:44:53;24.5;61.4;30.2;74.5;6.23;50;74;184;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.6;Eucalyptus Farm
2025-08-27 08:44:55;26.2;60.0;30.3;43.3;6.75;165;0;158;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;0.1;Eucalyptus Farm
2025-08-27 08:45:38;22.2;60.1;29.8;48.7;5.55;95;43;211;Sangat Subur;Pertahankan kondisi saat ini;1.0;Eucalyptus Farm
2025-08-27 08:45:47;20.8;53.0;28.5;42.5;5.69;74;69;144;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.2;Eucalyptus Farm
2025-08-27 08:46:51;21.0;55.4;30.1;47.1;7.42;117;24;219;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.1;Eucalyptus Farm
2025-08-27 08:47:29;25.9;60.2;29.0;61.4;5.27;40;84;130;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;6.8;Eucalyptus Farm
2025-08-27 08:47:49;29.9;39.3;26.3;45.3;7.14;103;64;244;Sangat Subur;Pertahankan kondisi saat ini;7.3;Eucalyptus Farm
2025-08-27 08:48:31;26.8;63.8;27.2;55.6;7.44;106;31;203;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.9;Eucalyptus Farm
2025-08-27 08:49:21;21.0;44.3;25.9;51.6;4.66;49;26;334;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;6.3;Eucalyptus Farm
2025-08-27 08:49:35;23.7;49.4;30.5;49.9;7.53;66;77;215;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.1;Eucalyptus Farm
2025-08-27 08:50:05;28.7;49.8;27.7;69.2;5.50;84;65;198;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.6;Eucalyptus Farm
2025-08-27 08:50:09;20.6;44.4;28.8;56.4;7.65;52;43;232;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.0;Eucalyptus Farm
2025-08-27 08:50:51;24.5;64.1;27.3;64.0;5.14;20;80;193;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;1.2;Eucalyptus Farm
2025-08-27 08:52:32;28.5;58.3;28.2;59.0;5.50;95;31;247;Sedang;Pantau dan sesuaikan pupuk jika perlu;9.2;Eucalyptus Farm
2025-08-27 08:54:27;29.0;66.4;29.9;69.6;5.84;98;33;152;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.8;Eucalyptus Farm
2025-08-27 08:55:04;29.0;46.9;28.5;60.1;7.83;61;75;176;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.5;Eucalyptus Farm
2025-08-27 08:55:43;29.3;66.7;27.2;44.2;7.08;59;12;221;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;1.9;Eucalyptus Farm
2025-08-27 08:56:13;21.1;44.6;28.1;61.8;5.51;71;30;119;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.3;Eucalyptus Farm
